"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120"
1534,1463,437,816,814,763,1853,1717,1300,840,109,1400,1336,903,589,1333,574,1413,827,680,980,1194,506,1774,1813,78,466,1958,1340,978,474,1375,1849,476,1998,1943,739,1388,900,406,1949,1218,325,1609,1944,159,461,1681,1978,1537,382,1551,1837,1011,715,947,625,893,595,943,1235,1055,1968,959,1501,1882,951,1938,1164,820,1074,351,1971,1993,349,1640,431,1374,540,1128,712,811,216,231,876,1809,1803,1461,837,1,347,668,1730,717,863,1195,1980,1031,1491,1032,1407,1107,1948,139,228,447,1767,1981,546,1699,1220,1907,563,1612,906,1266,130,316,326,92
1115,1227,803,1472,1887,774,917,965,127,116,1924,307,1632,1234,165,758,1838,1860,1277,998,1817,1350,982,1354,1450,223,708,353,937,356,129,974,675,1784,830,692,1233,32,1077,1845,383,1804,778,1852,95,58,1209,1422,889,1671,1064,1820,1496,262,156,872,362,1992,1762,1034,841,1114,120,1722,1660,1292,963,83,809,1835,1024,939,1751,1815,1712,253,66,1603,1816,896,1372,272,1904,1888,892,36,1788,1118,1580,1016,1427,294,1249,801,991,1889,433,1349,1469,1969,500,1197,1683,478,329,1317,1394,1652,238,756,185,541,1370,1174,886,350,1778,1669,1078,501
211,785,1307,898,463,1303,573,1561,1274,529,1679,359,604,992,1761,1814,1367,1656,764,1222,1480,1286,177,88,769,1507,1794,1196,1426,1657,1173,380,373,1293,1210,281,171,1423,1925,1487,1554,1013,799,512,1741,1936,734,808,1929,345,1123,1556,1793,806,493,240,620,1618,1512,1323,711,297,972,1373,1648,191,1792,782,1360,1614,1731,236,429,1126,684,643,1759,535,1324,243,504,434,132,821,1269,713,1744,934,1498,1063,1152,178,644,941,912,1275,457,1552,610,46,1708,949,671,788,200,1664,1598,1854,683,1143,614,826,1765,80,1514,1067,709,850,1745,1743
795,125,1117,1386,1231,663,393,878,101,599,1162,1411,647,1140,361,1445,460,1834,532,1037,1048,1597,179,676,1933,621,553,824,1365,1982,22,313,1018,572,699,67,1467,28,1458,585,1879,1601,1334,75,1503,1289,688,1179,1244,519,920,777,1570,882,1583,1642,1772,1703,1284,1207,598,471,1251,1884,1818,1182,695,1271,1569,754,1432,370,483,1959,444,559,957,700,1420,289,1790,482,1175,1154,1438,1319,1955,790,1493,1311,1278,229,1589,1873,1198,1075,520,1747,1576,1171,1224,1455,696,1405,1692,1238,64,1668,1015,1387,487,702,750,1419,51,1783,27,1564,836,265
1392,1239,1565,1526,1542,55,1488,522,1847,1066,1557,667,1189,1072,45,286,1957,1169,303,499,1468,1627,1099,237,252,584,616,640,1061,1385,1842,1102,1267,1417,207,600,1181,1581,398,645,1920,560,1471,813,469,936,1675,690,1254,1723,779,1939,704,648,659,421,565,564,108,1578,1006,1383,1962,84,1701,940,1540,408,1060,1167,718,54,1996,388,1176,1633,930,33,1605,1827,1449,163,1415,800,1538,842,241,97,451,467,929,1041,1393,1081,724,1237,1436,123,148,1824,1686,1596,1780,449,486,1502,822,403,151,1430,302,1263,854,1019,791,952,48,1797,870,967
1338,1014,366,1376,1065,728,315,1710,1573,1832,1272,142,1913,1611,1543,1485,834,1951,796,1885,1718,63,1361,271,1729,367,1521,239,204,859,797,1339,853,729,848,1719,1724,1148,628,502,107,1366,1452,1914,300,926,1505,387,1454,1536,376,1584,568,155,1851,1684,284,1534,1463,437,816,814,763,1853,1717,1300,840,109,1400,1336,903,589,1333,574,1413,827,680,980,1194,506,1774,1813,78,466,1958,1340,978,474,1375,1849,476,1998,1943,739,1388,900,406,1949,1218,325,1609,1944,159,461,1681,1978,1537,382,1551,1837,1011,715,947,625,893,595,943,1235,1055,1968
1355,61,1665,831,113,1439,1952,248,1098,575,1868,1571,418,40,232,1808,1963,13,891,377,1622,453,914,669,1500,74,1895,14,1049,1377,110,1150,613,348,1590,1898,606,34,971,858,987,1262,1163,1337,167,492,1870,1990,654,195,1694,864,401,145,1305,823,104,1115,1227,803,1472,1887,774,917,965,127,116,1924,307,1632,1234,165,758,1838,1860,1277,998,1817,1350,982,1354,1450,223,708,353,937,356,129,974,675,1784,830,692,1233,32,1077,1845,383,1804,778,1852,95,58,1209,1422,889,1671,1064,1820,1496,262,156,872,362,1992,1762,1034,841,1114,120
653,1867,1548,1151,576,1639,1250,552,513,1483,98,1347,741,1003,1940,1802,786,1046,1866,1191,1932,1810,932,1977,1859,1002,829,1138,1749,1322,372,157,199,150,751,1562,655,1522,1579,1059,479,508,954,389,1180,633,1202,1617,395,182,847,1105,986,299,1508,334,459,211,785,1307,898,463,1303,573,1561,1274,529,1679,359,604,992,1761,1814,1367,1656,764,1222,1480,1286,177,88,769,1507,1794,1196,1426,1657,1173,380,373,1293,1210,281,171,1423,1925,1487,1554,1013,799,512,1741,1936,734,808,1929,345,1123,1556,1793,806,493,240,620,1618,1512,1323,711,297,972
1931,503,65,1544,1088,661,615,339,1558,714,9,1332,247,298,626,1402,1335,1240,102,1489,747,115,897,1518,62,317,1825,921,1592,266,533,1062,1757,582,931,630,1568,1829,861,1520,1631,21,1242,1261,1525,126,927,1900,8,1964,93,1482,1644,495,1899,1200,1983,795,125,1117,1386,1231,663,393,878,101,599,1162,1411,647,1140,361,1445,460,1834,532,1037,1048,1597,179,676,1933,621,553,824,1365,1982,22,313,1018,572,699,67,1467,28,1458,585,1879,1601,1334,75,1503,1289,688,1179,1244,519,920,777,1570,882,1583,1642,1772,1703,1284,1207,598,471,1251
1909,798,458,1257,1711,910,1928,1414,1490,511,440,1805,1690,1643,305,556,436,358,16,524,1362,1550,547,983,1213,1131,374,1087,275,1630,205,399,1966,489,1279,975,691,233,1807,1186,1494,1325,805,426,1510,1391,1318,1291,368,537,603,414,369,590,1585,1833,1634,1392,1239,1565,1526,1542,55,1488,522,1847,1066,1557,667,1189,1072,45,286,1957,1169,303,499,1468,1627,1099,237,252,584,616,640,1061,1385,1842,1102,1267,1417,207,600,1181,1581,398,645,1920,560,1471,813,469,936,1675,690,1254,1723,779,1939,704,648,659,421,565,564,108,1578,1006,1383,1962
846,597,525,1294,1172,1045,379,201,1908,979,221,1021,1193,583,569,550,1384,1715,591,1706,968,1549,1947,579,997,1593,1519,725,256,578,111,1308,534,804,1302,1567,423,1089,146,1739,230,149,1700,1424,186,1359,308,1857,1960,938,571,1883,1356,222,1667,427,352,1338,1014,366,1376,1065,728,315,1710,1573,1832,1272,142,1913,1611,1543,1485,834,1951,796,1885,1718,63,1361,271,1729,367,1521,239,204,859,797,1339,853,729,848,1719,1724,1148,628,502,107,1366,1452,1914,300,926,1505,387,1454,1536,376,1584,568,155,1851,1684,284,1534,1463,437,816,814,763
1916,1165,1861,1613,1190,1798,1782,1028,1256,555,1408,1352,1418,1697,869,768,1524,1604,877,1166,144,561,817,1364,1108,1057,1532,81,1369,682,360,188,327,1800,1965,577,227,1770,175,1396,1243,1022,1893,558,879,1862,1142,301,439,194,1707,90,193,278,10,1052,679,1355,61,1665,831,113,1439,1952,248,1098,575,1868,1571,418,40,232,1808,1963,13,891,377,1622,453,914,669,1500,74,1895,14,1049,1377,110,1150,613,348,1590,1898,606,34,971,858,987,1262,1163,1337,167,492,1870,1990,654,195,1694,864,401,145,1305,823,104,1115,1227,803,1472,1887,774
514,1812,490,117,1139,168,417,1625,1040,752,966,404,1091,970,916,1080,845,857,587,955,279,745,190,1475,1283,6,1012,1645,946,1084,314,759,1093,865,1755,432,15,1696,1595,1160,341,288,1092,321,410,455,76,224,1504,413,1619,1444,1678,1382,137,1260,1753,653,1867,1548,1151,576,1639,1250,552,513,1483,98,1347,741,1003,1940,1802,786,1046,1866,1191,1932,1810,932,1977,1859,1002,829,1138,1749,1322,372,157,199,150,751,1562,655,1522,1579,1059,479,508,954,389,1180,633,1202,1617,395,182,847,1105,986,299,1508,334,459,211,785,1307,898,463,1303
180,990,172,874,1973,273,601,544,1007,523,710,775,1217,602,428,1629,624,1698,697,1351,192,909,1516,184,1280,1381,776,1170,220,214,1687,548,1236,1341,30,1714,1872,276,956,215,1602,1005,1881,1685,596,1934,1620,1654,397,904,1635,481,1740,740,385,742,1477,1931,503,65,1544,1088,661,615,339,1558,714,9,1332,247,298,626,1402,1335,1240,102,1489,747,115,897,1518,62,317,1825,921,1592,266,533,1062,1757,582,931,630,1568,1829,861,1520,1631,21,1242,1261,1525,126,927,1900,8,1964,93,1482,1644,495,1899,1200,1983,795,125,1117,1386,1231,663
883,1651,226,1975,612,812,464,217,1285,1304,1850,1192,103,1594,1363,1161,396,1997,1865,1056,1241,1876,1935,357,1043,666,1168,962,969,152,270,181,1726,234,1733,118,96,611,701,1215,405,1446,868,1447,1523,304,1736,138,1760,94,1287,1843,1147,981,213,43,1530,1909,798,458,1257,1711,910,1928,1414,1490,511,440,1805,1690,1643,305,556,436,358,16,524,1362,1550,547,983,1213,1131,374,1087,275,1630,205,399,1966,489,1279,975,691,233,1807,1186,1494,1325,805,426,1510,1391,1318,1291,368,537,603,414,369,590,1585,1833,1634,1392,1239,1565,1526,1542,55
652,378,619,1404,1282,1429,873,867,545,1572,1070,1915,1840,1448,984,623,1203,1106,1119,1742,516,268,735,922,703,1674,57,400,424,1878,20,1428,994,646,1053,197,760,133,285,780,1457,364,219,843,293,880,755,819,363,1989,1229,1970,1470,31,807,1995,722,846,597,525,1294,1172,1045,379,201,1908,979,221,1021,1193,583,569,550,1384,1715,591,1706,968,1549,1947,579,997,1593,1519,725,256,578,111,1308,534,804,1302,1567,423,1089,146,1739,230,149,1700,1424,186,1359,308,1857,1960,938,571,1883,1356,222,1667,427,352,1338,1014,366,1376,1065,728
1641,89,996,707,1281,176,494,24,720,1894,1371,1732,141,1877,386,1122,1047,732,1527,1226,1433,686,925,588,1086,1991,1183,1582,267,394,617,1344,160,875,566,1331,330,39,375,1247,1029,660,1109,277,1133,1923,767,135,12,263,1728,528,124,554,1801,942,1515,1916,1165,1861,1613,1190,1798,1782,1028,1256,555,1408,1352,1418,1697,869,768,1524,1604,877,1166,144,561,817,1364,1108,1057,1532,81,1369,682,360,188,327,1800,1965,577,227,1770,175,1396,1243,1022,1893,558,879,1862,1142,301,439,194,1707,90,193,278,10,1052,679,1355,61,1665,831,113,1439
1950,1434,340,1906,1110,818,1378,1397,1357,1735,1919,995,1312,1095,4,1412,1288,1591,958,1725,309,866,26,1535,1395,748,539,1406,1030,1748,1465,140,1653,665,336,338,723,1020,1864,128,1268,480,162,1177,1766,832,1440,1533,989,1486,622,586,1905,1682,902,1623,1650,514,1812,490,117,1139,168,417,1625,1040,752,966,404,1091,970,916,1080,845,857,587,955,279,745,190,1475,1283,6,1012,1645,946,1084,314,759,1093,865,1755,432,15,1696,1595,1160,341,288,1092,321,410,455,76,224,1504,413,1619,1444,1678,1382,137,1260,1753,653,1867,1548,1151,576,1639
392,1301,1546,290,1345,473,1560,719,255,1607,687,1120,1476,68,1984,1398,1156,1431,166,72,310,1187,320,835,344,1276,25,420,649,1880,923,443,1680,1930,1922,1785,1054,122,770,656,1869,1891,1252,635,627,726,465,411,567,445,19,1316,1478,498,283,1206,44,180,990,172,874,1973,273,601,544,1007,523,710,775,1217,602,428,1629,624,1698,697,1351,192,909,1516,184,1280,1381,776,1170,220,214,1687,548,1236,1341,30,1714,1872,276,956,215,1602,1005,1881,1685,596,1934,1620,1654,397,904,1635,481,1740,740,385,742,1477,1931,503,65,1544,1088,661
442,1113,1781,1616,1811,1874,1327,1912,170,1547,1588,1158,335,1826,1401,1586,1841,114,1795,1296,802,1691,1986,1823,164,999,1954,1856,1442,1828,381,1290,743,933,1188,143,1897,1624,913,792,282,206,1437,1662,1270,639,1094,678,1027,1615,1000,592,1149,468,833,258,1144,883,1651,226,1975,612,812,464,217,1285,1304,1850,1192,103,1594,1363,1161,396,1997,1865,1056,1241,1876,1935,357,1043,666,1168,962,969,152,270,181,1726,234,1733,118,96,611,701,1215,405,1446,868,1447,1523,304,1736,138,1760,94,1287,1843,1147,981,213,43,1530,1909,798,458,1257,1711,910
1459,1484,1390,1101,1033,518,435,976,1017,1473,1044,1830,706,1608,1927,1443,131,296,1409,1606,1716,593,1921,765,318,1987,208,721,733,631,890,1559,52,1456,918,894,1858,53,1621,1297,333,810,1155,670,526,1764,638,772,783,1178,438,1822,988,203,264,911,521,652,378,619,1404,1282,1429,873,867,545,1572,1070,1915,1840,1448,984,623,1203,1106,1119,1742,516,268,735,922,703,1674,57,400,424,1878,20,1428,994,646,1053,197,760,133,285,780,1457,364,219,843,293,880,755,819,363,1989,1229,1970,1470,31,807,1995,722,846,597,525,1294,1172,1045
1216,86,106,693,753,1787,1727,1474,1100,1663,1773,1752,1258,1738,1896,607,1511,944,1979,1666,672,761,1786,953,1248,781,225,425,1211,196,187,1096,210,787,1346,73,771,757,2000,1204,1299,291,629,1574,570,543,136,99,531,147,1626,1090,1051,1695,1214,1023,887,1641,89,996,707,1281,176,494,24,720,1894,1371,1732,141,1877,386,1122,1047,732,1527,1226,1433,686,925,588,1086,1991,1183,1582,267,394,617,1344,160,875,566,1331,330,39,375,1247,1029,660,1109,277,1133,1923,767,135,12,263,1728,528,124,554,1801,942,1515,1916,1165,1861,1613,1190,1798
1343,365,828,47,744,1587,1135,727,871,11,419,477,1539,509,1073,580,641,1001,1610,1637,838,1071,1976,860,242,169,35,173,158,1720,441,456,1010,1310,1453,497,1329,2,235,484,1661,1942,202,1799,594,218,71,1974,664,1746,773,901,154,402,50,134,530,1950,1434,340,1906,1110,818,1378,1397,1357,1735,1919,995,1312,1095,4,1412,1288,1591,958,1725,309,866,26,1535,1395,748,539,1406,1030,1748,1465,140,1653,665,336,338,723,1020,1864,128,1268,480,162,1177,1766,832,1440,1533,989,1486,622,586,1905,1682,902,1623,1650,514,1812,490,117,1139,168
1709,251,505,961,1036,1901,1890,260,1497,1127,1768,608,257,462,1779,1421,1658,1903,407,1945,69,1042,527,412,1212,1892,1776,1855,1103,311,355,1756,1145,698,1129,1506,849,1255,7,738,825,705,766,1223,895,1184,324,1848,1754,1844,245,371,112,538,1462,1941,1298,392,1301,1546,290,1345,473,1560,719,255,1607,687,1120,1476,68,1984,1398,1156,1431,166,72,310,1187,320,835,344,1276,25,420,649,1880,923,443,1680,1930,1922,1785,1054,122,770,656,1869,1891,1252,635,627,726,465,411,567,445,19,1316,1478,498,283,1206,44,180,990,172,874,1973,273
1264,1380,454,510,1083,1313,354,42,1221,1647,1495,1038,515,784,1079,59,452,1328,945,450,259,1185,1972,250,1228,472,1479,212,1104,183,637,1259,1771,342,1008,105,919,87,1320,488,1763,384,1068,409,422,517,1649,1085,1466,29,1416,881,1545,1961,332,1917,950,442,1113,1781,1616,1811,1874,1327,1912,170,1547,1588,1158,335,1826,1401,1586,1841,114,1795,1296,802,1691,1986,1823,164,999,1954,1856,1442,1828,381,1290,743,933,1188,143,1897,1624,913,792,282,206,1437,1662,1270,639,1094,678,1027,1615,1000,592,1149,468,833,258,1144,883,1651,226,1975,612,812
1266,130,316,326,92,1025,730,91,343,60,1563,322,736,1199,1967,928,1116,189,1693,1704,1953,1769,1403,161,1230,905,485,1638,1946,973,935,1009,1379,312,306,1146,1688,856,762,964,174,1655,536,1492,491,1125,1451,1659,1097,1137,1035,1806,549,1321,1985,1937,244,1459,1484,1390,1101,1033,518,435,976,1017,1473,1044,1830,706,1608,1927,1443,131,296,1409,1606,1716,593,1921,765,318,1987,208,721,733,631,890,1559,52,1456,918,894,1858,53,1621,1297,333,810,1155,670,526,1764,638,772,783,1178,438,1822,988,203,264,911,521,652,378,619,1404,1282,1429
350,1778,1669,1078,501,1750,246,1153,1134,1513,1136,1069,908,852,448,1789,1875,1353,1553,269,657,1689,1509,1529,416,844,1232,3,557,5,1132,56,851,789,662,280,82,295,1575,1039,1410,1124,430,618,1026,1358,1577,562,632,1670,888,915,1910,1555,1141,1159,605,1216,86,106,693,753,1787,1727,1474,1100,1663,1773,1752,1258,1738,1896,607,1511,944,1979,1666,672,761,1786,953,1248,781,225,425,1211,196,187,1096,210,787,1346,73,771,757,2000,1204,1299,291,629,1574,570,543,136,99,531,147,1626,1090,1051,1695,1214,1023,887,1641,89,996,707,1281,176
1067,709,850,1745,1743,1821,1112,1791,1734,331,960,1004,1863,470,287,1702,794,985,390,884,1775,1918,1481,254,1295,496,38,1676,1737,681,41,1628,1672,1225,1517,1677,507,1441,18,1499,634,1157,1464,651,1399,1201,1911,319,924,1600,85,77,337,636,1425,1253,1208,1343,365,828,47,744,1587,1135,727,871,11,419,477,1539,509,1073,580,641,1001,1610,1637,838,1071,1976,860,242,169,35,173,158,1720,441,456,1010,1310,1453,497,1329,2,235,484,1661,1942,202,1799,594,218,71,1974,664,1746,773,901,154,402,50,134,530,1950,1434,340,1906,1110,818
1783,27,1564,836,265,1050,862,17,23,749,673,1082,1528,716,1219,1245,1831,100,815,1435,737,839,658,746,1721,551,415,1306,475,328,153,1994,1846,1902,323,198,1389,1111,446,1342,1058,907,1541,1836,1999,1326,249,1886,948,1531,1796,1121,542,1246,79,70,885,1709,251,505,961,1036,1901,1890,260,1497,1127,1768,608,257,462,1779,1421,1658,1903,407,1945,69,1042,527,412,1212,1892,1776,1855,1103,311,355,1756,1145,698,1129,1506,849,1255,7,738,825,705,766,1223,895,1184,324,1848,1754,1844,245,371,112,538,1462,1941,1298,392,1301,1546,290,1345,473
952,48,1797,870,967,1368,1314,1265,292,1673,674,1646,1076,1956,1273,1636,793,650,689,49,1705,694,1599,261,642,677,609,346,1348,1819,37,119,899,1839,977,1315,1460,121,731,1566,1777,1988,1871,581,685,855,1130,1330,993,1309,1758,209,1926,391,1713,1205,274,1264,1380,454,510,1083,1313,354,42,1221,1647,1495,1038,515,784,1079,59,452,1328,945,450,259,1185,1972,250,1228,472,1479,212,1104,183,637,1259,1771,342,1008,105,919,87,1320,488,1763,384,1068,409,422,517,1649,1085,1466,29,1416,881,1545,1961,332,1917,950,442,1113,1781,1616,1811,1874
595,943,1235,1055,1968,959,1501,1882,951,1938,1164,820,1074,351,1971,1993,349,1640,431,1374,540,1128,712,811,216,231,876,1809,1803,1461,837,1,347,668,1730,717,863,1195,1980,1031,1491,1032,1407,1107,1948,139,228,447,1767,1981,546,1699,1220,1907,563,1612,906,1266,130,316,326,92,1025,730,91,343,60,1563,322,736,1199,1967,928,1116,189,1693,1704,1953,1769,1403,161,1230,905,485,1638,1946,973,935,1009,1379,312,306,1146,1688,856,762,964,174,1655,536,1492,491,1125,1451,1659,1097,1137,1035,1806,549,1321,1985,1937,244,1459,1484,1390,1101,1033,518
1762,1034,841,1114,120,1722,1660,1292,963,83,809,1835,1024,939,1751,1815,1712,253,66,1603,1816,896,1372,272,1904,1888,892,36,1788,1118,1580,1016,1427,294,1249,801,991,1889,433,1349,1469,1969,500,1197,1683,478,329,1317,1394,1652,238,756,185,541,1370,1174,886,350,1778,1669,1078,501,1750,246,1153,1134,1513,1136,1069,908,852,448,1789,1875,1353,1553,269,657,1689,1509,1529,416,844,1232,3,557,5,1132,56,851,789,662,280,82,295,1575,1039,1410,1124,430,618,1026,1358,1577,562,632,1670,888,915,1910,1555,1141,1159,605,1216,86,106,693,753,1787
1512,1323,711,297,972,1373,1648,191,1792,782,1360,1614,1731,236,429,1126,684,643,1759,535,1324,243,504,434,132,821,1269,713,1744,934,1498,1063,1152,178,644,941,912,1275,457,1552,610,46,1708,949,671,788,200,1664,1598,1854,683,1143,614,826,1765,80,1514,1067,709,850,1745,1743,1821,1112,1791,1734,331,960,1004,1863,470,287,1702,794,985,390,884,1775,1918,1481,254,1295,496,38,1676,1737,681,41,1628,1672,1225,1517,1677,507,1441,18,1499,634,1157,1464,651,1399,1201,1911,319,924,1600,85,77,337,636,1425,1253,1208,1343,365,828,47,744,1587
1284,1207,598,471,1251,1884,1818,1182,695,1271,1569,754,1432,370,483,1959,444,559,957,700,1420,289,1790,482,1175,1154,1438,1319,1955,790,1493,1311,1278,229,1589,1873,1198,1075,520,1747,1576,1171,1224,1455,696,1405,1692,1238,64,1668,1015,1387,487,702,750,1419,51,1783,27,1564,836,265,1050,862,17,23,749,673,1082,1528,716,1219,1245,1831,100,815,1435,737,839,658,746,1721,551,415,1306,475,328,153,1994,1846,1902,323,198,1389,1111,446,1342,1058,907,1541,1836,1999,1326,249,1886,948,1531,1796,1121,542,1246,79,70,885,1709,251,505,961,1036,1901
108,1578,1006,1383,1962,84,1701,940,1540,408,1060,1167,718,54,1996,388,1176,1633,930,33,1605,1827,1449,163,1415,800,1538,842,241,97,451,467,929,1041,1393,1081,724,1237,1436,123,148,1824,1686,1596,1780,449,486,1502,822,403,151,1430,302,1263,854,1019,791,952,48,1797,870,967,1368,1314,1265,292,1673,674,1646,1076,1956,1273,1636,793,650,689,49,1705,694,1599,261,642,677,609,346,1348,1819,37,119,899,1839,977,1315,1460,121,731,1566,1777,1988,1871,581,685,855,1130,1330,993,1309,1758,209,1926,391,1713,1205,274,1264,1380,454,510,1083,1313
